SDSS_objID,redshift,M_r,M_r_err,gr,gr_err,logab,fracDeV,red
587736753011622403,0.0562,-21.23,0.01,0.489,0.017,0.093,0.00,0
587736809382084818,0.0808,-21.59,0.01,0.495,0.022,0.135,0.00,0
588848900441178413,0.0815,-21.33,0.01,0.518,0.022,0.017,0.00,0
587739305295806575,0.0523,-21.84,0.00,0.638,0.017,0.168,0.01,0
587739376163946684,0.0494,-20.62,0.01,0.466,0.022,0.080,0.14,0
587738946146730152,0.0647,-20.30,0.01,0.460,0.029,0.178,0.05,0
587727222476702047,0.0800,-21.46,0.01,0.589,0.024,0.160,0.00,0
587741420567199980,0.0371,-21.69,0.00,0.583,0.015,0.000,0.42,0
587741532242772117,0.0643,-21.47,0.01,0.524,0.016,0.081,0.27,0
588017604138369114,0.0755,-21.22,0.01,0.572,0.021,0.150,0.48,0
587738409792831670,0.0673,-21.74,0.01,0.561,0.017,0.106,0.39,0
587726016150896791,0.0838,-22.14,0.01,0.666,0.019,0.111,0.13,0
587736541482254640,0.0562,-20.23,0.01,0.481,0.023,0.073,0.00,0
588009366936027291,0.0739,-20.95,0.01,0.447,0.021,0.152,0.00,0
587736619330306460,0.0545,-20.85,0.01,0.431,0.019,0.095,0.25,0
587731187279331410,0.0621,-21.50,0.01,0.662,0.017,0.179,0.32,1
587741421095747619,0.0475,-21.83,0.00,0.610,0.229,0.028,0.43,0
587737809029824782,0.0383,-21.73,0.00,0.608,0.015,0.121,0.31,0
587730774956507361,0.0799,-21.81,0.01,0.597,0.020,0.052,0.24,0
587726102027436237,0.0455,-20.58,0.01,0.481,0.020,0.101,0.00,0
587741490372477047,0.0561,-20.65,0.01,0.359,0.018,0.093,0.10,0
587733080811372632,0.0590,-21.49,0.01,0.543,0.016,0.081,0.00,0
587731521739030760,0.0823,-22.28,0.01,0.717,0.018,0.190,0.48,1
587733605331239258,0.0739,-20.38,0.01,0.565,0.030,0.128,0.00,0
587738409797812325,0.0708,-21.85,0.00,0.558,0.015,0.092,0.15,0
587741817313558754,0.0708,-21.06,0.01,0.558,0.022,0.070,0.02,0
587733398108504203,0.0666,-21.07,0.01,0.416,0.019,0.183,0.00,0
588017605212700791,0.0835,-21.99,0.01,0.605,0.017,0.070,0.21,0
587739406784921680,0.0744,-21.00,0.01,0.589,0.020,0.178,0.00,0
587739630096416914,0.0605,-21.63,0.01,0.472,0.022,0.139,0.20,0
587736584443003034,0.0616,-21.76,0.04,0.613,0.067,0.197,0.28,0
588017627238367276,0.0849,-21.77,0.01,0.432,0.016,0.043,0.15,0
588297863634944460,0.0595,-20.79,0.01,0.577,0.022,0.082,0.00,0
587732772127375477,0.0649,-22.47,0.00,0.628,0.015,0.007,0.48,0
587739130804633685,0.0597,-21.29,0.00,0.536,0.016,0.036,0.00,0
588010358540665057,0.0730,-20.64,0.01,0.594,0.022,0.081,0.16,0
587737826743681119,0.0719,-20.89,0.02,0.360,0.031,0.163,0.01,0
587727180601753667,0.0765,-21.68,0.01,0.532,0.019,0.139,0.11,0
587735346964398232,0.0696,-22.11,0.01,0.601,0.019,0.151,0.31,0
587739719221575792,0.0366,-21.12,0.00,0.579,0.016,0.074,0.00,0
587726032247521398,0.0650,-21.55,0.01,0.536,0.020,0.170,0.04,0
587736940912640185,0.0434,-21.19,0.01,0.493,0.016,0.123,0.37,0
587724198815137954,0.0405,-21.55,0.00,0.632,0.015,0.200,0.22,0
588018090541973836,0.0682,-21.42,0.01,0.617,0.018,0.107,0.36,0
587741489815028208,0.0571,-21.51,0.00,0.656,0.016,0.051,0.35,0
587728309106638957,0.0678,-20.32,0.02,0.344,0.031,0.106,0.30,0
587730021714493717,0.0843,-21.90,0.01,0.521,0.017,0.188,0.45,0
587725816959860887,0.0759,-21.36,0.01,0.597,0.019,0.130,0.04,0
587735666385551561,0.0727,-22.91,0.05,0.678,0.062,0.162,0.34,0
587735343716172074,0.0519,-20.65,0.01,0.551,0.019,0.114,0.00,0
587736477586227335,0.0405,-20.39,0.01,0.428,0.016,0.170,0.08,0
587734894368063539,0.0675,-21.69,0.01,0.559,0.017,0.028,0.28,0
587731870702043255,0.0762,-21.33,0.01,0.517,0.023,0.024,0.23,0
587736619327291827,0.0640,-20.80,0.07,0.543,0.115,0.147,0.00,0
587734892756074660,0.0457,-21.08,0.01,0.628,0.017,0.139,0.21,0
